"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1"
1,"N(2,1)",RRWMH,1,4584.3570161637435,4584.3570161637435,1.9941376572266505,0.9962776446631372,1.9929158338115704,1.325651395885206,2.6685182439232884
1,"N(2,1)",RRWMH,2,4463.145333168219,4463.145333168219,1.9775792220136936,1.000700092005625,1.9855927168886336,1.3054650011238866,2.6571306016382783
1,"N(2,1)",RRWMH,3,4810.877651259958,4810.877651259958,2.0126552368080963,1.0117082488904927,2.015627362179356,1.3252750301908305,2.695175498762697
1,"N(2,1)",RRWMH,4,4689.217419527836,4689.217419527836,2.01014493160484,0.9872943446682179,2.013942832149316,1.3472596540193975,2.6662476893903873
1,"N(2,1)",RRWMH,5,4864.613797494113,4864.613797494113,1.9926130709613092,1.0115610276175513,1.9954885490536882,1.3204090830949844,2.6701403880172663
1,"N(2,1)",RRWMH,6,4416.313807899678,4416.313807899678,1.9840082946506132,1.0020871105272167,1.9786444420855036,1.323442414299334,2.6542726676731334
1,"N(2,1)",RRWMH,7,4393.210187888864,4393.210187888864,1.9916566840920813,1.032370897185595,1.9937220024956974,1.2980227405357876,2.6835628777685363
1,"N(2,1)",RRWMH,8,4830.702877878507,4830.702877878507,1.9969427932754786,0.9775156780686256,2.005942886355409,1.3311138064385613,2.6705808446418082
1,"N(2,1)",RRWMH,9,4758.432100414515,4758.432100414515,2.004430044906358,1.0013935910582115,2.0121261892702256,1.3282108362873193,2.68319279755094
1,"N(2,1)",RRWMH,10,4747.004472614045,4747.004472614045,2.0095724950219527,0.9960407060768626,2.013249794154089,1.3361378327787776,2.6902751191307983
1,"N(2,1)",AM,1,4962.156618326025,4962.156618326025,1.994858994735513,0.9866929620622207,1.9907444183022134,1.3246509408648275,2.6533782625298223
1,"N(2,1)",AM,2,4637.343284027354,4637.343284027354,1.9785318805783534,1.009933596481134,1.9825424828634426,1.305418189841967,2.6551323132681746
1,"N(2,1)",AM,3,4580.727570544697,4580.727570544697,1.9952895153879426,0.9941062002411627,1.9962700980519752,1.3271890429440858,2.671290634635013
1,"N(2,1)",AM,4,4655.061750521233,4655.061750521233,2.002162407538956,0.989170831661859,2.008622005465105,1.331621909477573,2.679927412478232
1,"N(2,1)",AM,5,4736.012026180426,4736.012026180426,2.018046776317988,1.0370469143484424,2.032146390121275,1.3316164174793519,2.699813591328698
1,"N(2,1)",AM,6,4686.583969536604,4686.583969536604,2.0146429993265706,1.0071565013133164,2.0065132662563383,1.3347131585896816,2.6942469181689823
1,"N(2,1)",AM,7,4521.546695954971,4521.546695954971,1.9914472578263085,0.9939905637534543,1.9886065682204808,1.3172310031318313,2.6680508739302997
1,"N(2,1)",AM,8,4803.826212405341,4803.826212405341,2.016723260734091,1.0092549130499693,2.025194582260224,1.3340559699631875,2.7001395990935557
1,"N(2,1)",AM,9,5012.35631681838,5012.35631681838,2.0108238329713135,1.0154946809136476,1.9978278596259536,1.3145332847601243,2.686188103169302
1,"N(2,1)",AM,10,4917.303246251546,4917.303246251546,1.9952230899384011,0.9910592364731872,1.9985788359539458,1.3280958521057378,2.6704449135570805
1,"N(0.2,1)",RRWMH,1,4613.531683899066,4613.531683899066,0.19653747718086234,0.987092726856181,0.19824432220789268,-0.467300626351572,0.8641484045917159
