"target","sampler","mean1_err","var1_err","median1_err","Q11_err","Q31_err","mean2_err","var2_err","median2_err","Q12_err","Q32_err"
"ρ=0.1",RRWMH,0.002328064917510808,0.002377797486766031,0.002251034046910405,0.004149130847463933,0.0018798682423155633,0.02094359466053808,0.04606649950900188,0.017281294614748255,0.04199013880053526,0.002691380842137825
"ρ=0.1",AM,0.002413504844197334,0.0009826200823430664,0.00137917885112393,0.0023135448740050357,0.0003446006342033847,0.0032561654064098278,0.017109557714695356,0.005505787534414441,0.014171369501568831,0.007009447376740141
"ρ=-0.3",RRWMH,0.0042454018466084875,0.0027339221409854453,0.003087349413124052,0.0068311721860314645,0.0024701826490276524,0.015273482041541442,0.007287956660871231,0.009094667872043605,0.023219926044732553,0.003286333548050635
"ρ=-0.3",AM,0.0006498012462956559,0.0037130076303379944,0.003968724834414239,0.00046854998531609127,0.0011828442115171534,0.002400224085523206,0.008914020091099317,0.001150131985211189,0.009089681171582598,0.001210814591452447
"ρ=0.5",RRWMH,0.000764359438112372,0.00182857626130839,0.0016251531026885147,0.0008755465448724298,0.0013814792675383991,0.009874067301356426,0.025052803804242352,0.01102352374699489,0.024616802058160747,0.0007437010602684424
"ρ=0.5",AM,0.0018350050614812652,0.003426684569699523,0.0024791483859396557,0.0016197991316593274,0.003847348313004595,0.0030204688764658982,0.021324690386037126,0.00748411398380977,0.014751146989237185,0.0016598958153899446
"ρ=-0.8",RRWMH,0.0024358835415956293,0.00129568467537311,0.0014897711454668894,0.002144761244667226,0.002326212937240335,0.016077380838765976,0.07123408250948415,0.00498185186784994,0.03147835759222439,0.01450059727666897
"ρ=-0.8",AM,0.00022151364988642896,0.0009864473649141559,0.002708222822945139,0.0009400062755546834,0.003967158232079271,0.001036996439720106,0.0031251897249831018,0.005404417551109653,0.010846627841601286,0.0011266721710505578
