"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1","ESS2","mean2","var2","median2","Q1_2","Q3_2"
2,"ρ=0.1",RRWMH,1,4117.411132919788,6453.093757366293,2.0017036909813597,0.24569683697448852,1.998234937166427,1.670241239437238,2.3362124012371126,1781.7285084732828,2.9903764181508388,3.931522551942649,3.007420480395872,1.6660976353480024,4.327230965957687
2,"ρ=0.1",RRWMH,2,3848.945976122536,5933.74746613101,2.0021229169323687,0.24254176971471608,1.9981931482672093,1.6742667892909022,2.329625846705636,1764.1444861140628,3.060280431831793,4.053254077580828,3.0465489892271824,1.6773287325467985,4.44281314346202
2,"ρ=0.1",RRWMH,3,4100.906219742685,6197.205585657485,2.002927069126959,0.2442605150111552,2.0082253779464136,1.6661155692352307,2.3397416779260167,2004.606853827885,3.0735914108013778,4.038878921437176,3.075118927391205,1.7208367393508528,4.408817659389909
2,"ρ=0.1",RRWMH,4,4031.9272830475284,6209.652565146626,2.0057708147086353,0.24772103366362863,2.001802856028588,1.6680121292666932,2.3421103494643445,1854.2020009484304,2.9841995107858734,4.192920017856963,2.986080858938359,1.5865378852326897,4.372773992469774
2,"ρ=0.1",RRWMH,5,4353.925280611041,6731.8766193693,1.996513075033242,0.2545969622387947,1.9883812315719347,1.654279395550843,2.3353893453881094,1975.973941852782,2.955895670650862,4.226086448260309,2.9636511528895824,1.5769956177019555,4.365345273142363
2,"ρ=0.1",RRWMH,6,3996.4762357951886,6200.627375238562,2.002533212902653,0.24272773197648334,1.996691735060653,1.66720790178774,2.3393245856222835,1792.3250963518144,2.952052397962378,3.9633787037911574,2.979356551832145,1.6008517998859,4.302060731676879
2,"ρ=0.1",RRWMH,7,4097.794710348726,6390.248210684769,2.002554644414536,0.2560775893673721,2.005528010454878,1.65729776793787,2.3416896107316614,1805.3412100126818,2.9441352167357135,4.103926953537595,2.9404514531946635,1.57941495819951,4.29547755950941
2,"ρ=0.1",RRWMH,8,4025.8665226111375,6087.976928016481,2.000067801167601,0.2512579631750844,2.0029955556811703,1.6633539232137091,2.338924901058429,1963.756117205794,3.0630840622814977,4.155539885222867,3.064744569310263,1.6675253547043,4.441491122495114
2,"ρ=0.1",RRWMH,9,4316.385015779117,6572.623165160329,2.0004624151878416,0.2514458228001004,2.0026992120652327,1.666802901191801,2.3355110758015107,2060.146866397904,2.9140147560642355,3.916795725863313,2.9456420696596632,1.579192501776662,4.270823426595583
2,"ρ=0.1",RRWMH,10,4179.1531528684545,6494.648861122456,2.005379888651844,0.2475233713628393,2.0052084260752268,1.667005610307045,2.346723679092541,1863.6574446144537,2.9739132998930504,4.025085958351196,2.9784030605065066,1.617208921728702,4.321897479588066
2,"ρ=0.1",AM,1,3673.9163894336466,3814.3958032571973,2.0000920521386742,0.2662761704972363,1.9986647178911032,1.652529610215362,2.3538886699743644,3533.436975610096,2.9881529111431484,4.0770178476110495,2.9718314836350217,1.632278734121181,4.333481417293108
2,"ρ=0.1",AM,2,3876.17830392743,4115.784777010874,2.0041310757796684,0.25097817649086185,2.0021539986145758,1.6581258140910475,2.3460812979278876,3636.5718308439864,2.9476016318000955,3.982741092326723,2.9533055480157215,1.620076699622367,4.294881965641441
2,"ρ=0.1",AM,3,4147.253382223534,4273.87574808564,1.9962205995420585,0.24972757600769446,1.9976559202154829,1.6544506137738269,2.3374971772255053,4020.6310163614266,3.0556694823202353,3.9807019214582677,3.030619853264972,1.6952424938475255,4.4070289325927945
2,"ρ=0.1",AM,4,4149.155792646478,4360.730096275643,1.9952776546903241,0.24323076144468647,1.9850588068691453,1.6633638969892828,2.3278451372597697,3937.5814890173137,3.0134591271117164,3.9830397922438863,3.0106669097780525,1.674090032632216,4.342815992901016
2,"ρ=0.1",AM,5,4097.582249841097,4120.289622773817,2.0080441903756236,0.2488067138501897,2.0104464633659265,1.6716786514909892,2.3466452633651578,4074.8748769083763,3.0276675908686013,3.9396830776433696,3.041800000819483,1.704985060648376,4.362587135144222
